"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0067,14728,0.004,25000,0.0028,0.0014,0.1385,2023-10-25 23:11:45,3,"Nic Claxton_three_point","Loss",0.001,-0.001
2023-10-25,"FanDuel","CLE @ BKN","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2046,389,0.1429,600,0.0618,0.036,3.6037,2023-10-25 20:46:03,1,"Ben Simmons","Loss",3.6037,-3.6037
2023-10-25,"FanDuel","CLE @ BKN","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.21,376,0.2041,390,0.0059,0.0037,0.3698,2023-10-25 23:11:45,1,"Darius Garland","Loss",0.3698,-0.3698
2023-10-25,"FanDuel","CLE @ BKN","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.149,571,0.1429,600,0.0061,0.0036,0.3558,2023-10-25 23:42:39,1,"Isaac Okoro","Loss",0.3558,-0.3558
2023-10-25,"PointsBet","CLE @ BKN","FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.5311,-113,0.5238,-109.9989,0.0073,0.0076,0.3816,2023-10-25 20:46:03,1,"1Q_BKN","Loss",0.3816,-0.3816
2023-10-25,"Draft Kings","CLE @ BKN","FTTS Exact","First FGM","Team","Exact","Home/Away","Favorite/Underdog",0.4184,139,0.4167,140,0.0017,0.0015,0.0729,2023-10-25 23:42:39,1,"BKN_two_point","Loss",0.0729,-0.0729
2023-10-25,"MGM","CLE @ BKN","Win Tip","Win Tip","Player","Game","Home/Away","Favorite/Underdog",0.6325,-172,0.6226,-165,0.0098,0.013,0.65,2023-10-25 20:46:03,1,"Nic Claxton","Win",0.65,0.393939393939394
2023-10-25,"FanDuel","DAL @ SAS","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1147,772,0.1111,800,0.0035,0.002,0.1996,2023-10-26 00:42:37,1,"Devin Vassell","Loss",0.1996,-0.1996
2023-10-25,"FanDuel","DAL @ SAS","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.115,770,0.1111,800,0.0039,0.0022,0.2185,2023-10-26 01:12:05,2,"Devin Vassell","Loss",0.0189,-0.0189
2023-10-25,"MGM","DAL @ SAS","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0692,1345,0.0667,1400,0.0026,0.0014,0.1368,2023-10-25 20:46:03,1,"Grant Williams","Loss",0.1368,-0.1368
